ID,displayId,transportationDemand_ID,productName,quantity
880e8400-e29b-41d4-a716-446655440001,TDI-00001,770e8400-e29b-41d4-a716-446655440001,Samsung Refrigerator,5
880e8400-e29b-41d4-a716-446655440002,TDI-00002,770e8400-e29b-41d4-a716-446655440001,LG Washing Machine,3
880e8400-e29b-41d4-a716-446655440003,TDI-00003,770e8400-e29b-41d4-a716-446655440002,Dell Laptop,10
880e8400-e29b-41d4-a716-446655440004,TDI-00004,770e8400-e29b-41d4-a716-446655440002,ASUS Monitor,15
880e8400-e29b-41d4-a716-446655440005,TDI-00005,770e8400-e29b-41d4-a716-446655440003,Office Furniture,20
880e8400-e29b-41d4-a716-446655440006,TDI-00006,770e8400-e29b-41d4-a716-446655440003,Office Chairs,30
880e8400-e29b-41d4-a716-446655440007,TDI-00007,770e8400-e29b-41d4-a716-446655440004,Car Tires,50
880e8400-e29b-41d4-a716-446655440008,TDI-00008,770e8400-e29b-41d4-a716-446655440004,Motor Oil,100
880e8400-e29b-41d4-a716-446655440009,TDI-00009,770e8400-e29b-41d4-a716-446655440005,Food Products,200
880e8400-e29b-41d4-a716-446655440010,TDI-00010,770e8400-e29b-41d4-a716-446655440005,Household Chemicals,150
880e8400-e29b-41d4-a716-446655440011,TDI-00011,770e8400-e29b-41d4-a716-446655440006,iPhone 15 Pro,25
880e8400-e29b-41d4-a716-446655440012,TDI-00012,770e8400-e29b-41d4-a716-446655440006,MacBook Air,10
880e8400-e29b-41d4-a716-446655440013,TDI-00013,770e8400-e29b-41d4-a716-446655440007,Sony TV 65inch,8
880e8400-e29b-41d4-a716-446655440014,TDI-00014,770e8400-e29b-41d4-a716-446655440007,PlayStation 5,20
880e8400-e29b-41d4-a716-446655440015,TDI-00015,770e8400-e29b-41d4-a716-446655440008,Dyson Vacuum,15
880e8400-e29b-41d4-a716-446655440016,TDI-00016,770e8400-e29b-41d4-a716-446655440008,Bosch Dishwasher,12
