ID,displayId,name
550e8400-e29b-41d4-a716-446655440001,LOC-00001,Moscow
550e8400-e29b-41d4-a716-446655440002,LOC-00002,St. Petersburg
550e8400-e29b-41d4-a716-446655440003,LOC-00003,Novosibirsk
550e8400-e29b-41d4-a716-446655440004,LOC-00004,Yekaterinburg
550e8400-e29b-41d4-a716-446655440005,LOC-00005,Kazan
550e8400-e29b-41d4-a716-446655440006,LOC-00006,Nizhny Novgorod
550e8400-e29b-41d4-a716-446655440007,LOC-00007,Chelyabinsk
550e8400-e29b-41d4-a716-446655440008,LOC-00008,Samara
550e8400-e29b-41d4-a716-446655440009,LOC-00009,Omsk
550e8400-e29b-41d4-a716-446655440010,LOC-00010,Rostov-on-Don
