ID,freightOrder_ID,location_ID,sequence
aa0e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001,1
aa0e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,2
aa0e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440003,1
aa0e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440004,2
aa0e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440005,1
aa0e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440006,2
aa0e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440007,1
aa0e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440008,2
aa0e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440009,1
aa0e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440010,2
aa0e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440003,3
aa0e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440005,3
